id,birth_date,sex,address,city,state,zip,phone_number,npi_number,pager_number,pgy_level_id,specialty_id,user_id,created_at,updated_at
4,2006-02-26,Female,3801 Skiles Lane Apt. 750,Doyleville,MO,10702-8909,1-272-298-6141,7053787142,5717428940,14,54,4,2023-04-22 04:34:32,2023-04-22 04:34:32
14,2013-03-29,Female,11577 Volkman Mountains,North Marta,MA,17138,445.536.8472,3279791819,3847640471,44,104,14,2023-04-22 04:34:33,2023-04-22 04:34:33
24,2022-05-11,Male,9352 Bette Heights Apt. 990,Rollinstad,NY,86896-7370,+1-520-384-2173,1298241630,9353715090,74,74,24,2023-04-22 04:34:33,2023-04-22 04:34:33
34,2010-06-27,Female,878 Jacobs Brooks,Powlowskitown,AZ,88532-1423,+1-828-660-3392,1552304029,2813678605,4,44,34,2023-04-22 04:34:34,2023-04-22 04:34:34
44,1997-10-10,Male,6109 Bernhard Locks Apt. 863,South Nyahport,OK,41506-0296,1-240-614-1189,4876404203,4668389206,4,64,44,2023-04-22 04:34:35,2023-04-22 04:34:35
54,1995-09-07,Male,117 Annabelle Stream Suite 899,Labadieville,ME,79276-6654,+1 (986) 566-8431,8267703922,2129930160,44,34,54,2023-04-22 04:34:36,2023-04-22 04:34:36
64,1992-07-15,Male,89120 Haven Well,North Izaiahbury,TN,58243,615-976-1515,1188330782,8420238180,34,4,64,2023-04-22 04:34:36,2023-04-22 04:34:36
74,2021-11-16,Female,407 Dach Run Suite 450,Devynport,RI,43871,1-580-919-2665,1307557131,7686040193,24,24,74,2023-04-22 04:34:37,2023-04-22 04:34:37
84,1985-07-01,Male,997 Heaney Stravenue,West Brigitte,MS,94561,479-680-3533,8133909179,1669301071,64,84,84,2023-04-22 04:34:38,2023-04-22 04:34:38
94,2001-04-12,Female,950 Danielle Harbor,Destinytown,NV,18951,+1-574-504-2637,0814686441,8503314887,24,74,94,2023-04-22 04:34:38,2023-04-22 04:34:38
104,1980-09-18,Male,3593 Zachariah Fort,Kulastown,CO,22536-9077,+1-785-528-6533,1163944283,6528188941,24,74,104,2023-04-22 04:34:39,2023-04-22 04:34:39
114,1998-11-04,Male,89124 Waino Gardens,Lake Naomibury,AZ,22445,(754) 730-1201,7745051392,2507138390,4,84,114,2023-04-22 04:34:39,2023-04-22 04:34:39
124,2000-03-05,Female,269 Stoltenberg Underpass Apt. 193,South Jacehaven,IL,55401-7722,+1-747-419-8379,8499676117,6413973013,34,54,124,2023-04-22 04:34:40,2023-04-22 04:34:40
134,1975-03-12,Female,6225 Kshlerin Plain Apt. 699,Dibbertview,IN,60871-3018,1-508-584-0069,2142639213,8177112782,44,24,134,2023-04-22 04:34:41,2023-04-22 04:34:41
144,1976-02-10,Female,949 Frederick Ports Apt. 077,West Elissaburgh,GA,49576-4640,+1-979-498-9614,6207725475,6057214658,34,84,144,2023-04-22 04:34:41,2023-04-22 04:34:41
154,2001-10-23,Female,753 Tyrell Way,Lake Kelley,TN,18185,831.627.6147,4798450083,1865313597,54,44,154,2023-04-22 04:34:42,2023-04-22 04:34:42
164,1995-05-23,Female,15459 Marlon Hill Suite 250,North Vernicechester,FL,91958,+1 (330) 237-3910,4225757018,5466694506,74,104,164,2023-04-22 04:34:43,2023-04-22 04:34:43
174,1973-07-09,Female,60036 Franecki Hills Suite 984,Lake Orinberg,IN,67562,+13377019291,8584078711,4797594950,74,24,174,2023-04-22 04:34:43,2023-04-22 04:34:43
184,1992-04-26,Female,842 Brenden Mills,Ashleybury,WI,15098-9448,(843) 915-1873,3118329249,5818926016,24,94,184,2023-04-22 04:34:44,2023-04-22 04:34:44
194,1999-10-10,Female,47677 Nolan Motorway,Hildegardshire,SC,40244,+19204414532,9499690720,3953703206,14,24,194,2023-04-22 04:34:45,2023-04-22 04:34:45
